cl_docket_id,cl_cluster_id,cl_case_name,cl_case_name_full,cl_opinion_url,cl_docket_number,name_overlap,overlap_words,confidence,match_method,match_correct,idb_docket_raw,idb_docket,circuit,appellant,appellee,agency,agency_name,outcome,apptype,nos,juris,date_filed,usapt,usape,joinapp,consdkt,administration_case,pre_chevron,post_chevron,post_kisor,post_wv_epa,post_loper_bright,outcome_label,judgment_date,doctrine_era_judgment,administration_judgment
,,,,,,0,,NO_MATCH,none,,0001434,00-1434,0,SPECLTY ET AL,EPA,7,EPA,-8,1,-9,-9,10/10/2000,0,1,0,-8,Clinton,0,1,0,0,0,Code -8,11/28/2007,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0001435,00-1435,0,AMER ET AL,EPA,7,EPA,-8,1,-9,-9,10/10/2000,0,1,0,-8,Clinton,0,1,0,0,0,Code -8,11/28/2007,Chevron Era,Bush43
,187151.0,Kay v. Federal Communications Commission,Kay v. Federal Communications Commission,https://www.courtlistener.com/opinion/187151/,"03-1072, 05-1290",2,"federal, kay",HIGH,search_api,,0301072,03-1072,0,KAY,FEDERAL COMMUNICATIO,FCC,FCC,1,1,-9,-9,03/12/2003,0,0,3,-8,Bush43,0,1,0,0,0,Affirmed/Enforced,05/23/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0301109,03-1109,0,"AQUA ENERGY GROUP, L",FEDERAL ENERGY REGUL,8,FERC,-8,1,-9,-9,04/24/2003,0,0,0,-8,Bush43,0,1,0,0,0,Code -8,06/23/2008,Chevron Era,Bush43
,187018.0,Gas Transmission Northwest Corp. v. Federal Energy Regulatory Commission,Gas Transmission Northwest Corp. v. Federal Energy Regulatory Commission,https://www.courtlistener.com/opinion/187018/,"03-1257, 04-1065, 04-1066",0,,DOCKET_ONLY,search_api,,0301257,03-1257,0,PG&E,FERC,8,FERC,1,1,-9,-9,08/29/2003,0,1,3,-8,Bush43,0,1,0,0,0,Affirmed/Enforced,10/16/2007,Chevron Era,Bush43
,187018.0,Gas Transmission Northwest Corp. v. Federal Energy Regulatory Commission,Gas Transmission Northwest Corp. v. Federal Energy Regulatory Commission,https://www.courtlistener.com/opinion/187018/,"03-1257, 04-1065, 04-1066",0,,DOCKET_ONLY,search_api,,0401065,04-1065,0,N,FERC ET AL,8,FERC,1,1,-9,-9,02/23/2004,0,1,2,0301257,Bush43,0,1,0,0,0,Affirmed/Enforced,10/16/2007,Chevron Era,Bush43
,187018.0,Gas Transmission Northwest Corp. v. Federal Energy Regulatory Commission,Gas Transmission Northwest Corp. v. Federal Energy Regulatory Commission,https://www.courtlistener.com/opinion/187018/,"03-1257, 04-1065, 04-1066",1,gas,HIGH,search_api,,0401066,04-1066,0,GAS,FERC,8,FERC,1,1,-9,-9,02/23/2004,0,1,2,0301257,Bush43,0,1,0,0,0,Affirmed/Enforced,10/16/2007,Chevron Era,Bush43
,187165.0,Western Area Power Administration v. Federal Energy Regulatory Commission,Western Area Power Administration v. Federal Energy Regulatory Commission,https://www.courtlistener.com/opinion/187165/,04-1090,5,"area, energy, federal, power, western",HIGH,search_api,,0401090,04-1090,0,WESTERN AREA POWER A,FEDERAL ENERGY REGUL,8,FERC,1,1,-9,-9,03/22/2004,1,0,3,-8,Bush43,0,1,0,0,0,Affirmed/Enforced,05/02/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401092,04-1092,0,SAN,FERC,8,FERC,-8,1,-9,-9,03/22/2004,0,1,0,-8,Bush43,0,1,0,0,0,Code -8,10/10/2007,Chevron Era,Bush43
,187165.0,Western Area Power Administration v. Federal Energy Regulatory Commission,Western Area Power Administration v. Federal Energy Regulatory Commission,https://www.courtlistener.com/opinion/187165/,04-1090,5,"area, energy, federal, power, western",HIGH,consdkt_cache,,0401095,04-1095,0,NORTHERN CALIFORNIA,FEDERAL ENERGY REGUL,8,FERC,1,1,-9,-9,03/23/2004,0,0,2,0401090,Bush43,0,1,0,0,0,Affirmed/Enforced,05/02/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401112,04-1112,0,STEPHENS,EPA ET AL,7,EPA,-8,1,-9,-9,03/29/2004,0,1,0,-8,Bush43,0,1,0,0,0,Code -8,12/18/2007,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401113,04-1113,0,SW,FERC,8,FERC,-8,1,-9,-9,04/01/2004,0,1,0,-8,Bush43,0,1,0,0,0,Code -8,10/10/2007,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401191,04-1191,0,AMERICAN FOUNDRY SOC,ENVIRONMENTAL PROTEC,7,EPA,-8,1,-9,-9,06/18/2004,0,0,0,-8,Bush43,0,1,0,0,0,Code -8,06/10/2008,Chevron Era,Bush43
,187233.0,Sierra Club v. Environmental Protection Agency,Sierra Club v. Environmental Protection Agency,https://www.courtlistener.com/opinion/187233/,"04-1243, 07-1039",3,"club, environmental, sierra",HIGH,search_api,,0401243,04-1243,0,SIERRA CLUB,ENVIRONMENTAL PROTEC,7,EPA,2,1,-9,-9,07/20/2004,0,0,3,-8,Bush43,0,1,0,0,0,Reversed/Vacated,08/19/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401275,04-1275,0,AMERICAN LUNG ASSOCI,ENVIRONMENTAL PROTEC,7,EPA,-8,1,-9,-9,08/17/2004,0,0,0,-8,Bush43,0,1,0,0,0,Code -8,07/29/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401306,04-1306,0,GEORGIA COALITION FO,ENVIRONMENTAL PROTEC,7,EPA,-8,1,-9,-9,09/07/2004,0,0,0,-8,Bush43,0,1,0,0,0,Code -8,06/10/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401354,04-1354,0,PUB,FERC,8,FERC,-8,1,-9,-9,10/13/2004,0,1,0,-8,Bush43,0,1,0,0,0,Code -8,02/25/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401357,04-1357,0,PUB,FERC,8,FERC,-8,1,-9,-9,10/13/2004,0,1,0,-8,Bush43,0,1,0,0,0,Code -8,02/25/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0401378,04-1378,0,COMMONWEALTH OF MASS,ENVIRONMENTAL PROTEC,7,EPA,-8,1,-9,-9,11/24/2004,0,0,0,-8,Bush43,0,1,0,0,0,Code -8,07/29/2008,Chevron Era,Bush43
,8440262.0,"Fashion Valley Mall, LLC. v. National Labor Relations Board","Fashion Valley Mall, LLC. v. National Labor Relations Board",https://www.courtlistener.com/opinion/8440262/,"No. 04-1411, 05-1027, 05-1039",5,"fashion, labor, mall, national, valley",HIGH,search_api,,0401411,04-1411,0,"FASHION VALLEY MALL,",NATIONAL LABOR RELAT,1,NLRB,1,1,-9,-9,12/06/2004,0,0,0,-8,Bush43,0,1,0,0,0,Affirmed/Enforced,05/09/2008,Chevron Era,Bush43
,8647031.0,Warren v. Leavitt,Warren v. Leavitt,https://www.courtlistener.com/opinion/8647031/,No. 04-5413,1,warren,HIGH,search_api,,0405413,04-5413,0,THOMPSON,WARREN,-9,NON-AGENCY,1,3,442,2,11/30/2004,1,0,0,-8,Bush43,0,1,0,0,0,Affirmed/Enforced,02/04/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0501066,05-1066,0,BLOUNT,EPA,7,EPA,-8,1,-9,-9,03/04/2005,0,1,0,-8,Bush43,0,1,0,0,0,Code -8,02/20/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0501079,05-1079,0,SOUTH CAROLINA DEPAR,ENVIRONMENTAL PROTEC,7,EPA,-8,1,-9,-9,03/07/2005,0,0,0,-8,Bush43,0,1,0,0,0,Code -8,03/18/2008,Chevron Era,Bush43
,813930.0,State of New Jersey v. EPA,State of New Jersey v. EPA,https://www.courtlistener.com/opinion/813930/,05-1097,1,epa,HIGH,search_api,,0501097,05-1097,0,ST ET AL,EPA,7,EPA,2,1,-9,-9,03/28/2005,0,1,3,-8,Bush43,0,1,0,0,0,Reversed/Vacated,02/08/2008,Chevron Era,Bush43
,7914579.0,New Jersey v. Environmental Protection Agency,New Jersey v. Environmental Protection Agency,https://www.courtlistener.com/opinion/7914579/,"Nos. 05-1097, 05-1104, 05-1116, 05-1118, 05-1158, 05-1159, 05-1160, 05-1162, 05-1163, 05-1164, 05-1167, 05-1174, 05-1175, 05-1176, 05-1183, 05-1189, 05-1263, 05-1267, 05-1270, 05-1271, 05-1275, 05-1277, 06-1211, 06-1220, 06-1231, 06-1287, 06-1291, 06-1293, 06-1294",0,,DOCKET_ONLY,search_api,,0501104,05-1104,0,CM ET AL,EPA,7,EPA,2,1,-9,-9,04/01/2005,0,0,2,0501097,Bush43,0,1,0,0,0,Reversed/Vacated,02/08/2008,Chevron Era,Bush43
,7914579.0,New Jersey v. Environmental Protection Agency,New Jersey v. Environmental Protection Agency,https://www.courtlistener.com/opinion/7914579/,"Nos. 05-1097, 05-1104, 05-1116, 05-1118, 05-1158, 05-1159, 05-1160, 05-1162, 05-1163, 05-1164, 05-1167, 05-1174, 05-1175, 05-1176, 05-1183, 05-1189, 05-1263, 05-1267, 05-1270, 05-1271, 05-1275, 05-1277, 06-1211, 06-1220, 06-1231, 06-1287, 06-1291, 06-1293, 06-1294",0,,DOCKET_ONLY,search_api,,0501116,05-1116,0,ST,EPA,7,EPA,2,1,-9,-9,04/11/2005,0,1,2,0501097,Bush43,0,1,0,0,0,Reversed/Vacated,02/08/2008,Chevron Era,Bush43
,7914579.0,New Jersey v. Environmental Protection Agency,New Jersey v. Environmental Protection Agency,https://www.courtlistener.com/opinion/7914579/,"Nos. 05-1097, 05-1104, 05-1116, 05-1118, 05-1158, 05-1159, 05-1160, 05-1162, 05-1163, 05-1164, 05-1167, 05-1174, 05-1175, 05-1176, 05-1183, 05-1189, 05-1263, 05-1267, 05-1270, 05-1271, 05-1275, 05-1277, 06-1211, 06-1220, 06-1231, 06-1287, 06-1291, 06-1293, 06-1294",0,,DOCKET_ONLY,search_api,,0501118,05-1118,0,ST,EPA,7,EPA,2,1,-9,-9,04/08/2005,0,1,2,0501097,Bush43,0,1,0,0,0,Reversed/Vacated,02/08/2008,Chevron Era,Bush43
,,,,,,0,,NO_MATCH,none,,0501135,05-1135,0,STEEL ET AL,EPA,7,EPA,-8,1,-9,-9,04/22/2005,0,1,0,-8,Bush43,0,1,0,0,0,Code -8,11/28/2007,Chevron Era,Bush43
